timestamp,batt_volt,batt_level,height
1571917200,3.7,85,151
1571917500,3.7,85,151
1571917800,3.7,85,151
1571918100,3.7,85,151
1571918400,3.7,85,151
1571918700,3.7,85,151
1571919000,3.7,85,151
1571919300,3.7,85,151
1571919600,3.7,85,151
1571919900,3.7,85,151
1571920200,3.7,85,151
1571920500,3.7,85,151
1571920800,3.7,85,151
1571921100,3.7,85,151
1571921400,3.7,85,151
1571921700,3.7,85,151
1571922000,3.7,85,151
1571922300,3.7,85,151
1571922600,3.7,85,151
1571922900,3.7,85,151
1571923200,3.7,85,151
1571923500,3.7,85,151
1571923800,3.7,85,151
1571924100,3.7,85,151
1571924400,3.7,85,151
1571924700,3.7,85,151
1571925000,3.7,85,151
1571925300,3.7,85,151
1571925600,3.7,85,151
1571925900,3.7,85,151
1571926200,3.7,85,151
1571926500,3.7,85,151
1571926800,3.7,85,151
1571927100,3.7,85,151
1571927400,3.7,85,151
1571927700,3.7,85,151
1571928000,3.7,85,151
1571928300,3.7,85,151
1571928600,3.7,85,151
1571928900,3.7,85,151
1571929200,3.7,85,151
1571929500,3.7,85,151
1571929800,3.7,85,151
1571930100,3.7,85,151
1571930400,3.7,85,151
1571930700,3.7,85,151
1571931000,3.7,85,151
1571931300,3.7,85,151
1571931600,3.7,85,151
1571931900,3.7,85,151
1571932200,3.7,85,151
1571932500,3.7,85,151
1571932800,3.7,85,151
1571933100,3.7,85,151
1571933400,3.7,85,151
1571933700,3.7,85,151
1571934000,3.7,85,151
1571934300,3.7,85,151
1571934600,3.7,85,151
1571934900,3.7,85,151
1571935200,3.7,85,151
1571935500,3.7,85,151
1571935800,3.7,85,151
1571936100,3.7,85,151
1571936400,3.7,85,151
1571936700,3.7,85,151
1571937000,3.7,85,151
1571937300,3.7,85,151
1571937600,3.7,85,151
1571937900,3.7,85,151
1571938200,3.7,85,151
1571938500,3.7,85,151
1571938800,3.7,85,151
1571939100,3.7,85,151
1571939400,3.7,85,151
1571939700,3.7,85,151
1571940000,3.7,85,151
1571940300,3.7,85,151
1571940600,3.7,85,151
1571940900,3.7,85,151
1571941200,3.7,85,151
1571941500,3.7,85,151
1571941800,3.7,85,151
1571942100,3.7,85,151
1571942400,3.7,85,151
1571942700,3.7,85,151
1571943000,3.7,85,151
1571943300,3.7,85,151
1571943600,3.7,85,151
1571943900,3.7,85,151
1571944200,3.7,85,151
1571944500,3.7,85,151
1571944800,3.7,85,151
1571945100,3.7,85,151
1571945400,3.7,85,151
1571945700,3.7,85,151
1571946000,3.7,85,151
1571946300,3.7,85,151
1571946600,3.7,85,151
1571946900,3.7,85,151
1571947200,3.7,85,151
1571947500,3.7,85,151
1571947800,3.7,85,151
1571948100,3.7,85,151
1571948400,3.7,85,151
1571948700,3.7,85,151
1571949000,3.7,85,151
1571949300,3.7,85,151
1571949600,3.7,85,151
1571949900,3.7,85,151
1571950200,3.7,85,151
1571950500,3.7,85,151
1571950800,3.7,85,151
1571951100,3.7,85,151
1571951400,3.7,85,151
1571951700,3.7,85,151
1571952000,3.7,85,151
1571952300,3.7,85,151
1571952600,3.7,85,151
1571952900,3.7,85,151
1571953200,3.7,85,151
1571953500,3.7,85,151
1571953800,3.7,85,151
1571954100,3.7,85,151
1571954400,3.7,85,151
1571954700,3.7,85,151
1571955000,3.7,85,151
1571955300,3.7,85,151
1571955600,3.7,85,151
1571955900,3.7,85,151
1571956200,3.7,85,151
1571956500,3.7,85,151
1571956800,3.7,85,151
1571957100,3.7,85,151
1571957400,3.7,85,151
1571957700,3.7,85,151
1571958000,3.7,85,151
1571958300,3.7,85,151
1571958600,3.7,85,151
1571958900,3.7,85,151
1571959200,3.7,85,151
1571959500,3.7,85,151
1571959800,3.7,85,151
1571960100,3.7,85,151
1571960400,3.7,85,151
1571960700,3.7,85,151
1571961000,3.7,85,151
1571961300,3.7,85,151
1571961600,3.7,85,151
1571961900,3.7,85,151
1571962200,3.7,85,151
1571962500,3.7,85,151
1571962800,3.7,85,151
1571963100,3.7,85,151
1571963400,3.7,85,151
1571963700,3.7,85,151
1571964000,3.7,85,151
1571964300,3.7,85,151
1571964600,3.7,85,151
1571964900,3.7,85,151
1571965200,3.7,85,151
1571965500,3.7,85,151
1571965800,3.7,85,151
1571966100,3.7,85,151
1571966400,3.7,85,151
1571966700,3.7,85,151
1571967000,3.7,85,151
1571967300,3.7,85,151
1571967600,3.7,85,151
1571967900,3.7,85,151
1571968200,3.7,85,151
1571968500,3.7,85,151
1571968800,3.7,85,151
1571969100,3.7,85,151
1571969400,3.7,85,151
1571969700,3.7,85,151
1571970000,3.7,85,151
1571970300,3.7,85,151
1571970600,3.7,85,151
1571970900,3.7,85,151
1571971200,3.7,85,151
1571971500,3.7,85,151
1571971800,3.7,85,151
1571972100,3.7,85,151
1571972400,3.7,85,151
1571972700,3.7,85,151
1571973000,3.7,85,151
1571973300,3.7,85,151
1571973600,3.7,85,151
1571973900,3.7,85,151
1571974200,3.7,85,151
1571974500,3.7,85,151
1571974800,3.7,85,151
1571975100,3.7,85,151
1571975400,3.7,85,151
1571975700,3.7,85,151
1571976000,3.7,85,151
1571976300,3.7,85,151
1571976600,3.7,85,151
1571976900,3.7,85,151
1571977200,3.7,85,151
1571977500,3.7,85,151
1571977800,3.7,85,151
1571978100,3.7,85,151
1571978400,3.7,85,151
1571978700,3.7,85,151
1571979000,3.7,85,151
1571979300,3.7,85,151
1571979600,3.7,85,151
1571979900,3.7,85,151
1571980200,3.7,85,151
1571980500,3.7,85,151
1571980800,3.7,85,151
1571981100,3.7,85,151
1571981400,3.7,85,151
1571981700,3.7,85,151
1571982000,3.7,85,151
1571982300,3.7,85,151
1571982600,3.7,85,151
1571982900,3.7,85,151
1571983200,3.7,85,151
1571983500,3.7,85,151
1571983800,3.7,85,151
1571984100,3.7,85,151
1571984400,3.7,85,151
1571984700,3.7,85,151
1571985000,3.7,85,151
1571985300,3.7,85,151
1571985600,3.7,85,151
1571985900,3.7,85,151
1571986200,3.7,85,151
1571986500,3.7,85,151
1571986800,3.7,85,151
1571987100,3.7,85,151
1571987400,3.7,85,151
1571987700,3.7,85,151
1571988000,3.7,85,151
1571988300,3.7,85,151
1571988600,3.7,85,151
1571988900,3.7,85,151
1571989200,3.7,85,151
1571989500,3.7,85,151
1571989800,3.7,85,151
1571990100,3.7,85,151
1571990400,3.7,85,151
1571990700,3.7,85,151
1571991000,3.7,85,151
1571991300,3.7,85,151
1571991600,3.7,85,151
1571991900,3.7,85,151
1571992200,3.7,85,151
1571992500,3.7,85,151
1571992800,3.7,85,151
1571993100,3.7,85,151
1571993400,3.7,85,151
1571993700,3.7,85,151
1571994000,3.7,85,151
1571994300,3.7,85,151
1571994600,3.7,85,151
1571994900,3.7,85,151
1571995200,3.7,85,151
1571995500,3.7,85,151
1571995800,3.7,85,151
1571996100,3.7,85,151
1571996400,3.7,85,151
1571996700,3.7,85,151
1571997000,3.7,85,151
1571997300,3.7,85,151
1571997600,3.7,85,151
1571997900,3.7,85,151
1571998200,3.7,85,151
1571998500,3.7,85,151
1571998800,3.7,85,151
1571999100,3.7,85,151
1571999400,3.7,85,151
1571999700,3.7,85,151
1572000000,3.7,85,151
1572000300,3.7,85,151
