timestamp,message
1596146672690,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596146675900,"Internal timestamp invalid. Fetching from server."
1596146689651,"Slope: -1.839896, Current: 115.866203, Previous: 143.464645"
1596146692930,"Number of data points in queue: 0"
1596146701731,", Entering power saving mode. Sleeping for 15 min."
1596146914774,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596146915408,"Internal timestamp invalid. Fetching from server."
1596146918368,"Number of data points in queue: 0"
1596146929968,", Entering power saving mode. Sleeping for 15 min., "
1596147099032,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596147099728,"Internal timestamp invalid. Fetching from server."
1596147103011,"Number of data points in queue: 0"
1596147116542,", Entering power saving mode. Sleeping for 15 min., "
1596147227568,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596147228288,"Internal timestamp invalid. Fetching from server."
1596147231168,"Number of data points in queue: 0"
1596147244703,", Entering power saving mode. Sleeping for 15 min., "
1596147636610,"Slope: 1.811024, Current: 143.031570, Previous: 115.866203"
1596147647810,"Number of data points in queue: 0"
1596147657090,", Entering power saving mode. Sleeping for 15 min."
1596147787011,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596147787816,"Internal timestamp invalid. Fetching from server."
1596147791576,"Number of data points in queue: 0"
1596147805339,", Entering power saving mode. Sleeping for 15 min., "
1596148122640,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596148130019,"Internal timestamp invalid. Fetching from server."
1596148153676,"Number of data points in queue: 2"
1596148171743,", Entering power saving mode. Sleeping for 15 min., "
1596148271808,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596148272449,"Internal timestamp invalid. Fetching from server."
1596148275168,"Safe mode requested."
1596148361968,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596148362608,"Internal timestamp invalid. Fetching from server."
1596148365568,"Number of data points in queue: 0"
1596148379259,", Entering power saving mode. Sleeping for 15 min., "
1596148587810,"Slope: 0.000000, Current: 143.031570, Previous: 143.031570"
1596148590850,"Number of data points in queue: 0"
1596148600611,", Entering power saving mode. Sleeping for 15 min."
1596148978209,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596148978929,"Internal timestamp invalid. Fetching from server."
1596148981489,"Safe mode requested."
1596149082288,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596149082929,"Internal timestamp invalid. Fetching from server."
1596149085889,"Number of data points in queue: 0"
1596149097888,", Entering power saving mode. Sleeping for 15 min., "
1596149533331,"Slope: -0.005249, Current: 142.952835, Previous: 143.031570"
1596149536450,"Number of data points in queue: 0"
1596149546051,", Entering power saving mode. Sleeping for 15 min."
1596150477811,"Slope: -1.855644, Current: 115.118172, Previous: 142.952835"
1596150480930,"Number of data points in queue: 0"
1596150490290,", Entering power saving mode. Sleeping for 15 min."
1596151422211,"Slope: 0.026247, Current: 115.511871, Previous: 115.118172"
1596151425251,"Number of data points in queue: 0"
1596151434450,", Entering power saving mode. Sleeping for 15 min."
1596152366291,"Slope: -0.020997, Current: 115.196915, Previous: 115.511871"
1596152369571,"Number of data points in queue: 0"
1596152379252,", Entering power saving mode. Sleeping for 15 min."
